gene	metabolite
YDR503C	1,2-diacylglycerol 3-diphosphate (1-16:1, 2-16:1)
YDR503C	1,2-diacylglycerol 3-diphosphate (1-18:0, 2-16:1)
YDR503C	1,2-diacylglycerol 3-diphosphate (1-18:1, 2-16:1)
YDR503C	1,2-diacylglycerol 3-diphosphate (1-16:0, 2-18:1)
YDR503C	1,2-diacylglycerol 3-diphosphate (1-16:1, 2-18:1)
YDR503C	1,2-diacylglycerol 3-diphosphate (1-18:0, 2-18:1)
YDR503C	1,2-diacylglycerol 3-diphosphate (1-18:1, 2-18:1)
YDR508C	H+
YDR508C	L-cysteine
YDR508C	L-glutamine
YDR508C	L-serine
YDR508C	L-leucine
YDR508C	L-methionine
YDR508C	L-threonine
YDR508C	L-asparagine
YDR513W	H+
YDR513W	H2O
YDR513W	NADP(+)
YDR513W	NADPH
YDR513W	hydrogen peroxide
YDR513W	glutathione
YDR513W	glutathione disulfide
YDR529C	ferricytochrome c
YDR529C	ferrocytochrome c
YDR529C	H+
YDR529C	ubiquinol-6
YDR529C	ubiquinone-6
YDR530C	H+
YDR530C	ADP
YDR530C	ATP
YDR530C	phosphate
YDR530C	P(1),P(4)-bis(5'-adenosyl) tetraphosphate
YDR531W	H+
YDR531W	ADP
YDR531W	ATP
YDR531W	(R)-pantothenate
YDR531W	(R)-4'-phosphopantothenic acid
YDR536W	H+
YDR536W	D-galactose
YDR536W	D-glucose
YDR536W	glycerol
YEL006W	NAD
YEL017C-A	H+
YEL017C-A	H2O
YEL017C-A	ADP
YEL017C-A	ATP
YEL017C-A	phosphate
YEL021W	H+
YEL021W	carbon dioxide
YEL021W	UMP
YEL021W	orotidine 5'-(dihydrogen phosphate)
YEL024W	ferricytochrome c
YEL024W	ferrocytochrome c
YEL024W	H+
YEL024W	ubiquinol-6
YEL024W	ubiquinone-6
YEL027W	H+
YEL027W	H2O
YEL027W	ADP
YEL027W	ATP
YEL027W	phosphate
YEL029C	H+
YEL029C	ADP
YEL029C	ATP
YEL029C	pyridoxine
YEL029C	pyridoxine 5'-phosphate
YEL038W	H+
YEL038W	H2O
YEL038W	phosphate
YEL038W	formate
YEL038W	4-methylthio-2-oxobutanoate
YEL038W	5-(methylsulfanyl)-2,3-dioxopentyl phosphate
YEL039C	ferricytochrome c
YEL039C	ferrocytochrome c
YEL039C	H+
YEL039C	H2O
YEL039C	oxygen
YEL039C	ubiquinol-6
YEL039C	ubiquinone-6
YEL039C	pyruvate
YEL039C	hydrogen peroxide
YEL039C	(R)-lactate
YEL039C	(S)-lactate
YEL041W	H+
YEL041W	ADP
YEL041W	ATP
YEL041W	NAD
YEL041W	NADH
YEL041W	NADP(+)
YEL041W	NADPH
YEL042W	H+
YEL042W	H2O
YEL042W	phosphate
YEL042W	UDP
YEL042W	GDP
YEL042W	UMP
YEL042W	GMP
YEL046C	L-glycine
YEL046C	L-threonine
YEL046C	acetaldehyde
YEL046C	L-allothreonine
YEL047C	succinate
YEL047C	FMN
YEL047C	FAD
YEL047C	fumarate
YEL047C	FADH2
YEL047C	FMNH2
YEL051W	H+
YEL051W	H2O
YEL051W	ADP
YEL051W	ATP
YEL051W	phosphate
YEL058W	N-acetyl-alpha-D-glucosamine 1-phosphate
YEL058W	alpha-D-glucosamine 1-phosphate
YEL058W	alpha-D-glucosamine 6-phosphate
YEL058W	N-acetyl-D-glucosamine 6-phosphate
YEL063C	H+
YEL063C	L-arginine
YEL063C	ornithine
YEL069C	H+
YEL069C	D-glucose
YEL069C	D-fructose
YEL069C	D-mannose
YEL071W	ferricytochrome c
YEL071W	ferrocytochrome c
YEL071W	pyruvate
YEL071W	(R)-lactate
YER003C	D-fructose 6-phosphate
YER003C	D-mannose 6-phosphate
YER005W	H+
YER005W	H2O
YER005W	ADP
YER005W	ATP
YER005W	phosphate
YER005W	AMP
YER005W	GTP
YER005W	CTP
YER005W	UTP
YER005W	UDP
YER005W	GDP
YER005W	CMP
YER005W	UMP
YER005W	GMP
YER005W	IMP
YER005W	CDP
YER005W	IDP
YER005W	ITP
YER014W	H2O
YER014W	oxygen
YER014W	protoporphyrinogen
YER014W	protoporphyrin
YER015W	ATP
YER015W	AMP
YER015W	coenzyme A
YER015W	diphosphate
YER015W	palmitoyl-CoA
YER015W	palmitoleoyl-CoA(4-)
YER015W	stearoyl-CoA
YER015W	palmitate
YER015W	palmitoleate
YER015W	stearate
YER015W	oleate
YER015W	oleoyl-CoA
YER015W	myristoyl-CoA
YER015W	decanoate
YER015W	decanoyl-CoA
YER015W	laurate
YER015W	lauroyl-CoA
YER015W	myristate
YER015W	octanoate
YER015W	octanoyl-CoA
YER019W	H2O
YER019W	inositol-P-ceramide A (C24)
YER019W	inositol-P-ceramide A (C26)
YER019W	inositol-P-ceramide B (C24)
YER019W	inositol-P-ceramide B (C26)
YER019W	inositol-P-ceramide B' (C24)
YER019W	inositol-P-ceramide B' (C26)
YER019W	inositol-P-ceramide C (C24)
YER019W	inositol-P-ceramide C (C26)
YER019W	inositol-P-ceramide D (C24)
YER019W	inositol-P-ceramide D (C26)
YER019W	mannosylinositol phosphorylceramide A (C24)
YER019W	mannosylinositol phosphorylceramide A (C26)
YER019W	mannosylinositol phosphorylceramide B (C24)
YER019W	mannosylinositol phosphorylceramide B (C26)
YER019W	mannosylinositol phosphorylceramide B' (C24)
YER019W	mannosylinositol phosphorylceramide B' (C26)
YER019W	mannosylinositol phosphorylceramide C (C24)
YER019W	mannosylinositol phosphorylceramide C (C26)
YER019W	mannosylinositol phosphorylceramide D (C24)
YER019W	mannosylinositol phosphorylceramide D (C26)
YER019W	ceramide-2 (C24)
YER019W	inositol phosphomannosylinositol phosphoceramide A (C24)
YER019W	inositol phosphomannosylinositol phosphoceramide A (C26)
YER019W	inositol phosphomannosylinositol phosphoceramide B (C24)
YER019W	inositol phosphomannosylinositol phosphoceramide B (C26)
YER019W	inositol phosphomannosylinositol phosphoceramide B' (C24)
YER019W	inositol phosphomannosylinositol phosphoceramide B' (C26)
YER019W	inositol phosphomannosylinositol phosphoceramide C (C24)
YER019W	inositol phosphomannosylinositol phosphoceramide C (C26)
YER019W	inositol phosphomannosylinositol phosphoceramide D (C24)
YER019W	inositol phosphomannosylinositol phosphoceramide D (C26)
YER019W	1D-myo-inositol 1-phosphate
YER019W	ceramide-1 (C24)
YER019W	ceramide-1 (C26)
YER019W	ceramide-2 (C26)
YER019W	ceramide-2' (C24)
YER019W	ceramide-2' (C26)
YER019W	ceramide-3 (C24)
YER019W	ceramide-3 (C26)
YER019W	ceramide-4 (C24)
YER019W	ceramide-4 (C26)
YER019W	1D-myo-inositol 3-phosphate
YER019W	mannose-(1D-myo-inositol 1-phosphate)2
YER019W	mannose-1D-myo-inositol 1-phosphate
YER023W	H+
YER023W	NADP(+)
YER023W	NADPH
YER023W	1-pyrroline-3-hydroxy-5-carboxylic acid
YER023W	1-pyrroline-5-carboxylate
YER023W	L-proline
YER024W	acetyl-CoA
YER024W	coenzyme A
YER024W	(R)-carnitine
YER024W	O-acetylcarnitine
YER026C	H+
YER026C	CDP-diacylglycerol (1-16:0, 2-16:1)
YER026C	CDP-diacylglycerol (1-16:1, 2-16:1)
YER026C	CDP-diacylglycerol (1-18:0, 2-16:1)
YER026C	CDP-diacylglycerol (1-18:1, 2-16:1)
YER026C	CDP-diacylglycerol (1-16:0, 2-18:1)
YER026C	CDP-diacylglycerol (1-16:1, 2-18:1)
YER026C	CDP-diacylglycerol (1-18:0, 2-18:1)
YER026C	CDP-diacylglycerol (1-18:1, 2-18:1)
YER026C	L-serine
YER026C	CMP
YER026C	phosphatidyl-L-serine (1-16:0, 2-16:1)
YER026C	phosphatidyl-L-serine (1-16:1, 2-16:1)
YER026C	phosphatidyl-L-serine (1-18:0, 2-16:1)
YER026C	phosphatidyl-L-serine (1-18:1, 2-16:1)
YER026C	phosphatidyl-L-serine (1-16:0, 2-18:1)
YER026C	phosphatidyl-L-serine (1-16:1, 2-18:1)
YER026C	phosphatidyl-L-serine (1-18:0, 2-18:1)
YER026C	phosphatidyl-L-serine (1-18:1, 2-18:1)
YER037W	H2O
YER037W	phosphate
YER037W	cytidine
YER037W	1-acyl-sn-glycerol 3-phosphate (16:0)
YER037W	1-acyl-sn-glycerol 3-phosphate (16:1)
YER037W	uridine
YER037W	CMP
YER037W	UMP
YER037W	1-acyl-sn-glycerol 3-phosphate (18:0)
YER037W	1-acyl-sn-glycerol 3-phosphate (18:1)
YER037W	1-monoglyceride (16:0)
YER037W	1-monoglyceride (16:1)
YER037W	1-monoglyceride (18:0)
YER037W	1-monoglyceride (18:1)
YER037W	GMP
YER037W	guanosine
YER043C	H2O
YER043C	adenosine
YER043C	S-adenosyl-L-homocysteine
YER043C	L-homocysteine
YER052C	ADP
YER052C	ATP
YER052C	L-aspartate
YER052C	4-phospho-L-aspartate
YER053C	H+
YER053C	phosphate
YER055C	ATP
YER055C	diphosphate
YER055C	PRPP
YER055C	5-phosphoribosyl-ATP
YER056C	H+
YER056C	guanine
YER056C	adenine
YER056C	cytosine
YER060W	H+
YER060W	guanine
YER060W	adenine
YER060W	cytosine
YER060W-A	H+
YER060W-A	guanine
YER060W-A	adenine
YER060W-A	cytosine
YER061C	H+
YER061C	carbon dioxide
YER061C	butanoyl-ACP
YER061C	hexanoyl-ACP
YER061C	acetyl-ACP
YER061C	carboxyacetyl-ACP
YER061C	ACP1
YER061C	acetoacetyl-ACP
YER061C	3-oxo-hexanoyl-ACP
YER061C	3-oxo-octanoyl-ACP
YER062C	H2O
YER062C	phosphate
YER062C	glycerol 3-phosphate
YER062C	glycerol
YER062C	glycerol 1-phosphate
YER065C	succinate
YER065C	isocitrate
YER065C	glyoxylate
YER069W	H+
YER069W	ADP
YER069W	ATP
YER069W	phosphate
YER069W	NADP(+)
YER069W	NADPH
YER069W	2-acetamido-5-oxopentanoate
YER069W	N-acetyl-L-gamma-glutamyl phosphate
YER069W	N-acetyl-L-glutamate
YER070W	H2O
YER070W	ADP
YER070W	TRX1
YER070W	TRX1 disulphide
YER070W	GDP
YER070W	dADP
YER070W	dGDP
YER070W	CDP
YER070W	dCDP
YER073W	H+
YER073W	H2O
YER073W	NAD
YER073W	NADH
YER073W	acetate
YER073W	NADP(+)
YER073W	NADPH
YER073W	acetaldehyde
YER073W	indol-3-ylacetaldehyde
YER073W	indole-3-acetate
YER081W	H+
YER081W	NAD
YER081W	NADH
YER081W	3-phosphonato-D-glycerate(3-)
YER081W	3-phospho-hydroxypyruvate
YER086W	2-oxobutanoate
YER086W	ammonium
YER086W	L-threonine
YER090W	H+
YER090W	pyruvate
YER090W	L-glutamate
YER090W	L-glutamine
YER090W	anthranilate
YER090W	chorismate
YER091C	H+
YER091C	THF
YER091C	L-methionine
YER091C	L-homocysteine
YER091C	5-methyltetrahydrofolate
YER091C	5-methyltetrahydropteroyltri-L-glutamic acid
YER091C	tetrahydropteroyltri-L-glutamic acid
YER099C	H+
YER099C	ATP
YER099C	AMP
YER099C	PRPP
YER099C	ribose-5-phosphate
YER119C	H+
YER119C	L-glutamate
YER119C	L-aspartate
YER152C	2-oxoglutarate
YER152C	L-glutamate
YER152C	L-2-aminoadipate
YER152C	2-oxoadipic acid
YER170W	ADP
YER170W	ATP
YER170W	AMP
YER170W	GTP
YER170W	GDP
YER174C	H+
YER174C	NADP(+)
YER174C	NADPH
YER174C	glutathione
YER174C	glutathione disulfide
YER175C	S-adenosyl-L-homocysteine
YER175C	S-adenosyl-L-methionine
YER175C	(2R,3S)-3-isopropylmalate
YER175C	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid
YER175C	3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate
YER175C	trans-aconitate
YER178W	pyruvate
YER178W	carbon dioxide
YER178W	NAD
YER178W	NADH
YER178W	acetyl-CoA
YER178W	coenzyme A
YER183C	H+
YER183C	H2O
YER183C	ADP
YER183C	ATP
YER183C	phosphate
YER183C	5,10-methenyl-THF
YER183C	5-formyltetrahydrofolic acid
YER183C	10-formyl-THF
YFL001W	H2O
YFL001W	ribose-5-phosphate
YFL001W	uracil
YFL001W	pseudouridine 5'-phosphate
YFL011W	H+
YFL011W	D-galactose
YFL011W	D-glucose
YFL011W	D-fructose
YFL011W	D-mannose
YFL017C	H+
YFL017C	acetyl-CoA
YFL017C	coenzyme A
YFL017C	alpha-D-glucosamine 6-phosphate
YFL017C	N-acetyl-D-glucosamine 6-phosphate
YFL018C	H+
YFL018C	H2O
YFL018C	ammonium
YFL018C	pyruvate
YFL018C	5,10-methenyl-THF
YFL018C	5,10-methylenetetrahydrofolate
YFL018C	5-formyltetrahydrofolic acid
YFL018C	carbon dioxide
YFL018C	dihydrolipoamide
YFL018C	dihydrolipoylprotein
YFL018C	L-glycine
YFL018C	lipoamide
YFL018C	lipoylprotein
YFL018C	NAD
YFL018C	NADH
YFL018C	S(8)-aminomethyldihydrolipoamide
YFL018C	S(8)-aminomethyldihydrolipoylprotein
YFL018C	THF
YFL018C	acetyl-CoA
YFL018C	coenzyme A
YFL018C	2-oxoglutarate
YFL018C	succinyl-CoA
YFL018C	S(8)-succinyldihydrolipoamide
YFL022C	ATP
YFL022C	AMP
YFL022C	diphosphate
YFL022C	L-phenylalanine
YFL022C	Phe-tRNA(Phe)
YFL022C	tRNA(Phe)
YFL030W	pyruvate
YFL030W	L-glycine
YFL030W	L-alanine
YFL030W	glyoxylate
YFL045C	D-mannose 1-phosphate
YFL045C	D-mannose 6-phosphate
YFL053W	H+
YFL053W	ADP
YFL053W	ATP
YFL053W	dihydroxyacetone phosphate
YFL053W	glycerone
YFL055W	H+
YFL055W	L-glutamate
YFL055W	L-aspartate
YFL055W	L-serine
YFR015C	H+
YFR015C	H2O
YFR015C	UDP-D-glucose
YFR015C	UDP
YFR015C	glycogen
YFR019W	H+
YFR019W	ADP
YFR019W	ATP
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-16:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-18:1)
YFR019W	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-18:1)
YFR025C	H2O
YFR025C	phosphate
YFR025C	L-histidinol
YFR025C	L-histidinol phosphate
YFR030W	H+
YFR030W	H2O
YFR030W	NADP(+)
YFR030W	NADPH
YFR030W	hydrogen sulfide
YFR030W	sulphite
YFR033C	ferricytochrome c
YFR033C	ferrocytochrome c
YFR033C	H+
YFR033C	ubiquinol-6
YFR033C	ubiquinone-6
YFR047C	H+
YFR047C	carbon dioxide
YFR047C	diphosphate
YFR047C	PRPP
YFR047C	nicotinic acid D-ribonucleotide
YFR047C	quinolinate
YFR053C	H+
YFR053C	ADP
YFR053C	ATP
YFR053C	D-fructose 6-phosphate
YFR053C	D-glucose 6-phosphate
YFR053C	D-glucose
YFR053C	D-fructose
YFR053C	D-mannose
YFR053C	D-mannose 6-phosphate
YGL001C	H+
YGL001C	carbon dioxide
YGL001C	NAD
YGL001C	NADH
YGL001C	NADP(+)
YGL001C	NADPH
YGL001C	3-dehydro-4-methylzymosterol
YGL001C	4beta-methylzymosterol-4alpha-carboxylic acid
YGL001C	zymosterol intermediate 1c
YGL001C	zymosterol intermediate 2
YGL008C	H+
YGL008C	H2O
YGL008C	ADP
YGL008C	ATP
YGL008C	phosphate
YGL009C	H2O
YGL009C	(2R,3S)-3-isopropylmalate
YGL009C	2-isopropylmalate
YGL009C	2-isopropylmaleic acid
YGL012W	H+
YGL012W	NADP(+)
YGL012W	NADPH
YGL012W	ergosterol
YGL012W	ergosta-5,7,22,24(28)-tetraen-3beta-ol
YGL026C	H2O
YGL026C	L-serine
YGL026C	L-tryptophan
YGL026C	glyceraldehyde 3-phosphate
YGL026C	1-C-(indol-3-yl)glycerol 3-phosphate
YGL037C	H2O
YGL037C	ammonium
YGL037C	nicotinamide
YGL037C	nicotinate
YGL040C	H+
YGL040C	H2O
YGL040C	porphobilinogen
YGL040C	5-aminolevulinate
YGL055W	H+
YGL055W	H2O
YGL055W	oxygen
YGL055W	NAD
YGL055W	NADH
YGL055W	palmitoyl-CoA
YGL055W	palmitoleoyl-CoA(4-)
YGL055W	stearoyl-CoA
YGL055W	oleoyl-CoA
YGL062W	H+
YGL062W	ADP
YGL062W	ATP
YGL062W	phosphate
YGL062W	pyruvate
YGL062W	bicarbonate
YGL062W	oxaloacetate
YGL063W	H2O
YGL063W	ribose-5-phosphate
YGL063W	uracil
YGL063W	pseudouridine 5'-phosphate
YGL067W	H+
YGL067W	H2O
YGL067W	NAD
YGL067W	AMP
YGL067W	NMN
YGL077C	H+
YGL077C	choline
YGL080W	H+
YGL080W	pyruvate
YGL084C	H+
YGL084C	glycerol
YGL119W	H+
YGL119W	H2O
YGL119W	oxygen
YGL119W	ubiquinol-6
YGL119W	NAD
YGL119W	NADH
YGL119W	S-adenosyl-L-homocysteine
YGL119W	S-adenosyl-L-methionine
YGL119W	2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone
YGL119W	2-hexaprenyl-6-methoxy-1,4-benzoquinone
YGL119W	2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone
YGL119W	2-hexaprenyl-6-methoxyphenol
YGL119W	3-hexaprenyl-4,5-dihydroxybenzoic acid
YGL119W	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid
YGL125W	H+
YGL125W	5,10-methylenetetrahydrofolate
YGL125W	NADP(+)
YGL125W	NADPH
YGL125W	5-methyltetrahydrofolate
YGL142C	dolichyl D-mannosyl phosphate
YGL142C	6-O-{alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol
YGL142C	6-O-{alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol
YGL148W	phosphate
YGL148W	5-O-(1-carboxyvinyl)-3-phosphoshikimic acid
YGL148W	chorismate
YGL154C	H+
YGL154C	ATP
YGL154C	AMP
YGL154C	diphosphate
YGL154C	NADP(+)
YGL154C	NADPH
YGL154C	L-2-aminoadipate
YGL154C	L-allysine
YGL184C	H2O
YGL184C	ammonium
YGL184C	L-cystathionine
YGL184C	pyruvate
YGL184C	L-homocysteine
YGL186C	H+
YGL186C	pyridoxine
YGL186C	guanine
YGL186C	adenine
YGL186C	cytosine
YGL187C	ferricytochrome c
YGL187C	ferrocytochrome c
YGL187C	H+
YGL187C	H2O
YGL187C	oxygen
YGL191W	ferricytochrome c
YGL191W	ferrocytochrome c
YGL191W	H+
YGL191W	H2O
YGL191W	oxygen
YGL202W	2-oxoglutarate
YGL202W	L-glutamate
YGL202W	L-methionine
YGL202W	L-phenylalanine
YGL202W	L-tryptophan
YGL202W	L-tyrosine
YGL202W	L-2-aminoadipate
YGL202W	3-(4-hydroxyphenyl)pyruvate
YGL202W	keto-phenylpyruvate
YGL202W	4-methylthio-2-oxobutanoate
YGL202W	2-oxoadipic acid
YGL202W	indole-3-pyruvate
YGL205W	oxygen
YGL205W	palmitoyl-CoA
YGL205W	palmitoleoyl-CoA(4-)
YGL205W	hydrogen peroxide
YGL205W	docosanoyl-CoA
YGL205W	tetracosanoyl-CoA
YGL205W	hexacosanoyl-CoA
YGL205W	stearoyl-CoA
YGL205W	icosanoyl-CoA
YGL205W	oleoyl-CoA
YGL205W	myristoyl-CoA
YGL205W	trans-tetradec-2-enoyl-CoA
YGL205W	trans-octadec-2-enoyl-CoA
YGL205W	trans-icos-2-enoyl-CoA
YGL205W	trans-docos-2-enoyl-CoA
YGL205W	trans-tetracos-2-enoyl-CoA
YGL205W	trans-hexacos-2-enoyl-CoA
YGL205W	decanoyl-CoA
YGL205W	lauroyl-CoA
YGL205W	octanoyl-CoA
YGL205W	hexadec-2-enoyl-CoA
YGL205W	trans-dec-2-enoyl-CoA
YGL205W	trans-dodec-2-enoyl-CoA
YGL205W	butanoyl-CoA
YGL205W	hexanoyl-CoA
YGL205W	but-2-enoyl-CoA
YGL205W	trans-hex-2-enoyl-CoA
YGL205W	trans-oct-2-enoyl-CoA
YGL205W	trans-2,cis-9-hexadecadienoyl-CoA
YGL205W	cis-tetradec-7-enoyl-CoA
YGL205W	trans-2,cis-7-tetradecadienoyl-CoA
YGL205W	cis-dodec-5-enoyl-CoA
YGL205W	trans-2,cis-5-dodecadienoyl-CoA
YGL205W	trans-2,cis-9-octadecadienoyl-CoA
YGL205W	cis-hexadec-7-enoyl-CoA
YGL205W	trans-2,cis-7-hexadecadienoyl-CoA
YGL205W	cis-tetradec-5-enoyl-CoA
YGL205W	trans-2,cis-5-tetradecadienoyl-CoA
YGL224C	H2O
YGL224C	phosphate
YGL224C	cytidine
YGL224C	uridine
YGL224C	CMP
YGL224C	UMP
YGL225W	GDP-alpha-D-mannose
YGL225W	GMP
YGL234W	H+
YGL234W	ADP
YGL234W	ATP
YGL234W	phosphate
YGL234W	L-glycine
YGL234W	5-phospho-ribosyl-glycineamide
YGL234W	5'-phosphoribosyl-5-aminoimidazole
YGL234W	5'-phosphoribosyl-N-formylglycineamidine
YGL234W	5-phosphoribosylamine
YGL245W	ATP
YGL245W	AMP
YGL245W	diphosphate
YGL245W	L-glutamate
YGL245W	Glu-tRNA(Glu)
YGL245W	tRNA(Glu)
YGL248W	H+
YGL248W	H2O
YGL248W	AMP
YGL248W	3',5'-cyclic AMP
YGL253W	H+
YGL253W	ADP
YGL253W	ATP
YGL253W	D-fructose 6-phosphate
YGL253W	D-glucose 6-phosphate
YGL253W	D-glucose
YGL253W	D-fructose
YGL253W	D-mannose
YGL253W	D-mannose 6-phosphate
YGL256W	H+
YGL256W	NAD
YGL256W	NADH
YGL256W	2-methylbutanal
YGL256W	2-methylbutanol
YGL256W	2-phenylethanol
YGL256W	3-methylbutanal
YGL256W	acetaldehyde
YGL256W	ethanol
YGL256W	indol-3-ylacetaldehyde
YGL256W	isoamylol
YGL256W	isobutanol
YGL256W	isobutyraldehyde
YGL256W	phenylacetaldehyde
YGL256W	tryptophol
YGR007W	H+
YGR007W	diphosphate
YGR007W	CTP
YGR007W	O-phosphoethanolamine
YGR007W	CDP-ethanolamine
YGR010W	H+
YGR010W	ATP
YGR010W	NAD
YGR010W	diphosphate
YGR010W	nicotinic acid D-ribonucleotide
YGR010W	NMN
YGR010W	deamido-NAD(+)
YGR019W	2-oxoglutarate
YGR019W	L-glutamate
YGR019W	succinic semialdehyde
YGR019W	gamma-aminobutyrate
YGR020C	H+
YGR020C	H2O
YGR020C	ADP
YGR020C	ATP
YGR020C	phosphate
YGR032W	H+
YGR032W	UDP-D-glucose
YGR032W	UDP
YGR032W	(1->3)-beta-D-glucan
YGR055W	H+
YGR055W	L-methionine
YGR060W	H+
YGR060W	H2O
YGR060W	oxygen
YGR060W	NADP(+)
YGR060W	NADPH
YGR060W	4beta-methylzymosterol-4alpha-carboxylic acid
YGR060W	zymosterol intermediate 1c
YGR060W	14-demethyllanosterol
YGR060W	4alpha-methylzymosterol
YGR060W	zymosterol intermediate 1a
YGR060W	zymosterol intermediate 1b
YGR061C	H+
YGR061C	H2O
YGR061C	ADP
YGR061C	ATP
YGR061C	phosphate
YGR061C	L-glutamate
YGR061C	L-glutamine
YGR061C	5'-phosphoribosyl-N-formylglycineamide
YGR061C	5'-phosphoribosyl-N-formylglycineamidine
YGR065C	H+
YGR065C	biotin
YGR087C	H+
YGR087C	pyruvate
YGR087C	carbon dioxide
YGR087C	(R)-acetoin
YGR087C	2-methylbutanal
YGR087C	acetaldehyde
YGR087C	indol-3-ylacetaldehyde
YGR087C	isobutyraldehyde
YGR087C	3-methyl-2-oxobutanoate
YGR087C	(S)-3-methyl-2-oxopentanoate
YGR087C	indole-3-pyruvate
YGR088W	H2O
YGR088W	oxygen
YGR088W	hydrogen peroxide
YGR094W	ATP
YGR094W	AMP
YGR094W	diphosphate
YGR094W	L-valine
YGR094W	Val-tRNA(Val)
YGR094W	tRNA(Val)
YGR096W	TDP
YGR110W	H+
YGR110W	H2O
YGR110W	palmitate
YGR110W	stearate
YGR110W	cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-16:1, 3-18:0, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-16:1, 3-18:1, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-16:1, 3-16:0, 4-18:1)
YGR110W	cardiolipin (1-16:0, 2-16:1, 3-16:1, 4-18:1)
YGR110W	cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1)
YGR110W	cardiolipin (1-16:1, 2-16:1, 3-18:0, 4-16:1)
YGR110W	cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-18:1)
YGR110W	cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-16:1)
YGR110W	cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-16:1)
YGR110W	cardiolipin (1-18:0, 2-16:1, 3-18:0, 4-16:1)
YGR110W	cardiolipin (1-18:0, 2-16:1, 3-18:1, 4-16:1)
YGR110W	cardiolipin (1-18:0, 2-16:1, 3-16:0, 4-18:1)
YGR110W	cardiolipin (1-18:0, 2-16:1, 3-16:1, 4-18:1)
YGR110W	cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1)
YGR110W	cardiolipin (1-18:1, 2-16:1, 3-18:0, 4-16:1)
YGR110W	cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-18:1)
YGR110W	cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-18:1, 3-18:0, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-18:1, 3-18:1, 4-16:1)
YGR110W	cardiolipin (1-16:0, 2-18:1, 3-16:0, 4-18:1)
YGR110W	cardiolipin (1-16:0, 2-18:1, 3-16:1, 4-18:1)
YGR110W	cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-16:1)
YGR110W	cardiolipin (1-16:1, 2-18:1, 3-18:0, 4-16:1)
YGR110W	cardiolipin (1-16:1, 2-18:1, 3-16:0, 4-18:1)
