uniprot	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7WIQ2	9.64E-07	7.93E-07	5.01E-07	5.55E-07	7.21E-07	9.66E-07	5.51E-07	2.75E-07			6.67E-07	5.69E-07
M7XVT2	1.83E-07	1.38E-07		3.43E-08	7.43E-07	9.78E-07	5.08E-07	4.45E-07	1.79E-07	1.13E-07	2.75E-08	2.57E-08
M7XDG9	6.75E-07	6.10E-07	3.05E-07	2.88E-07	4.03E-07	4.65E-07	3.17E-07	2.79E-07	6.81E-07	6.18E-07	3.31E-07	2.43E-07
M7WI10	7.46E-07	3.48E-07		4.25E-07	7.88E-07	9.84E-07	7.17E-07	6.82E-07	8.36E-07	1.00E-06	8.12E-07	5.86E-07
M7WYB0	5.46E-07	5.02E-07	3.03E-07	3.13E-07	1.67E-07	2.04E-07	1.90E-07	1.58E-07	4.14E-07	4.27E-07	2.58E-07	1.66E-07
M7XMJ0	3.94E-07	3.03E-07	3.17E-07	2.42E-07	5.68E-07	5.97E-07	3.37E-07	2.94E-07	7.84E-07	7.44E-07	2.42E-07	2.05E-07
M7WK23	1.13E-06	1.16E-06	3.83E-07	4.77E-07	1.51E-06	1.67E-06	8.76E-07	7.71E-07	1.34E-06	1.38E-06	4.99E-07	4.03E-07
M7WRH5	1.10E-06	8.64E-07	2.14E-06	1.93E-06	1.20E-06	1.47E-06	1.29E-06	1.39E-06	2.46E-06	2.73E-06	3.52E-06	2.63E-06
M7X6U6	6.88E-07	5.02E-07	2.23E-07	2.40E-07	3.34E-07	3.01E-07	2.10E-07	1.57E-07	6.73E-07	6.84E-07	1.62E-07	1.34E-07
M7X9H8	5.53E-07	5.21E-07		1.25E-07	1.21E-06	1.18E-06	9.31E-07	7.38E-07	1.20E-06	1.12E-06	3.37E-07	3.04E-07
M7XK44	6.74E-07	4.00E-07		1.76E-06	1.99E-06	2.52E-06	1.70E-06	1.44E-06	2.77E-06	2.40E-06	2.04E-06	1.52E-06
M7WXY7	1.40E-06	1.38E-06	7.62E-07	7.68E-07	7.00E-07	7.82E-07	8.44E-07	7.26E-07	1.14E-06	1.24E-06	9.09E-07	7.53E-07
M7X3E8	1.08E-06	1.00E-06		2.74E-07	2.21E-06	2.33E-06	1.40E-06	1.15E-06	2.56E-06	2.04E-06	6.19E-07	5.76E-07
M7X1C7	2.19E-07	2.57E-07	1.01E-07	1.03E-07	6.61E-07	7.74E-07	3.80E-07	3.49E-07	3.67E-07	3.36E-07	1.37E-07	1.24E-07
M7XLS6	2.75E-07	3.63E-07	2.04E-07	1.92E-07	1.61E-07	2.09E-07	1.55E-07	1.28E-07	2.59E-07	2.44E-07	1.86E-07	1.57E-07
M7WYK1	9.54E-07	1.08E-06	2.83E-07	2.45E-07	1.44E-06	1.47E-06	6.39E-07	6.72E-07	1.63E-06	1.77E-06	4.35E-07	3.47E-07
M7WKZ4	2.32E-06	2.27E-06	8.27E-07	7.46E-07	1.17E-06	1.31E-06	7.35E-07	5.69E-07	2.40E-06	2.99E-06	6.80E-07	5.14E-07
M7X7J6	1.11E-06	1.18E-06	5.13E-07	5.04E-07	7.58E-07	7.34E-07	4.80E-07	4.47E-07	1.20E-06	1.21E-06	5.41E-07	4.69E-07
M7XII4	1.10E-06	1.06E-06		7.61E-07	1.26E-06	1.41E-06	7.54E-07	7.36E-07	1.05E-06		8.42E-07	9.13E-07
M7X6S6	1.71E-06	1.84E-06	1.43E-06	1.49E-06	1.88E-06	1.75E-06	1.35E-06	1.36E-06	1.98E-06	1.92E-06	1.30E-06	9.90E-07
M7XN47	4.36E-08	3.57E-08	2.26E-07	2.76E-07	9.37E-07	7.11E-07	5.78E-07	4.14E-07	3.69E-08	6.21E-08	3.65E-07	2.61E-07
M7XBR4	1.53E-06	2.69E-06	1.35E-06	1.26E-06	2.11E-06	2.49E-06	2.03E-06	1.96E-06	2.15E-06	1.87E-06	1.71E-06	1.38E-06
M7XKT4	2.64E-06	2.44E-06	1.03E-06	1.03E-06	1.09E-06	1.11E-06	7.27E-07	7.08E-07	2.26E-06	2.45E-06	1.01E-06	7.31E-07
M7WCJ7	2.33E-07	1.79E-07		7.00E-08	9.56E-07	8.94E-07	4.84E-07	3.52E-07	1.34E-06	1.06E-06	2.13E-07	1.79E-07
M7WVK0		3.00E-07	4.12E-08	1.01E-07	4.88E-07	4.27E-07	4.55E-07		3.85E-07			
M7XXS3	7.35E-07	7.16E-07		2.00E-07	7.85E-07	9.91E-07	6.94E-07	6.08E-07	1.98E-07	2.15E-07	1.60E-07	1.35E-07
M7X4F7	1.58E-06	1.41E-06	5.58E-07	5.33E-07	6.73E-07	7.37E-07	6.30E-07	5.72E-07	1.22E-06	1.40E-06	6.55E-07	4.80E-07
M7X6G0	5.44E-07	7.23E-07		2.91E-07	4.01E-07	4.16E-07	3.62E-07	3.12E-07	6.48E-07	7.79E-07	3.84E-07	3.05E-07
M7XP66	5.82E-07	7.79E-07	5.95E-07	6.08E-07	7.68E-07	8.20E-07	5.67E-07	5.58E-07	1.17E-06	1.07E-06	7.74E-07	6.54E-07
M7WX90	1.42E-06	7.93E-07		5.93E-07	1.19E-06	1.03E-06	7.37E-07	7.03E-07	2.80E-06	2.77E-06	1.06E-06	9.28E-07
M7XNG2	2.25E-07	2.11E-07	4.80E-07	3.88E-07	4.75E-07	5.19E-07	2.07E-07	2.13E-07	1.25E-07		2.33E-07	1.34E-07
M7X3A8	1.09E-06	1.19E-06	3.61E-07	3.04E-07	1.09E-06	1.09E-06	6.90E-07	6.50E-07	8.45E-07	7.26E-07	4.13E-07	4.77E-07
M7XLT9	1.02E-06	1.40E-06	3.63E-06	3.53E-06	2.14E-06	1.93E-06	2.45E-06	2.22E-06	1.57E-06	1.47E-06	1.08E-05	8.58E-06
M7WJU4	1.14E-06	1.55E-06	1.28E-06	1.22E-06	1.07E-06	8.40E-07	5.38E-07	5.91E-07	2.04E-06	2.06E-06	1.06E-06	9.95E-07
M7WQL8	5.79E-06	1.23E-06	8.38E-07	7.18E-07	3.91E-07	3.62E-07	1.77E-07	1.47E-07			2.94E-07	2.08E-07
M7WW82	9.98E-07	1.15E-06	1.19E-07	4.61E-07	5.25E-07	5.85E-07	5.52E-07	3.69E-07	5.80E-07	8.40E-07	5.81E-07	3.88E-07
M7WFA3	1.53E-06	1.70E-06	8.58E-07	8.78E-07	1.15E-06	1.24E-06	1.05E-06	1.34E-06	1.67E-06	2.55E-06	2.35E-06	9.41E-07
M7WZC3	9.40E-07	7.62E-07	2.93E-07	6.01E-07	7.59E-07	8.66E-07	5.79E-07	5.86E-07	1.16E-06	4.42E-07	1.13E-06	8.94E-07
M7XI91	6.54E-07	5.60E-07	2.50E-07	2.56E-07	2.97E-07	3.27E-07	2.57E-07	2.19E-07	4.86E-07	5.31E-07	2.45E-07	1.94E-07
M7X456	3.70E-07	2.83E-07	1.06E-07	1.04E-07	9.54E-07	9.34E-07	5.13E-07	4.15E-07	4.82E-07	3.75E-07	1.31E-07	1.17E-07
M7WUN0	8.81E-07	9.09E-07	2.49E-07	2.90E-07	3.14E-07	3.19E-07	1.91E-07	1.80E-07	5.32E-07	5.66E-07	2.37E-07	1.75E-07
M7XN72	7.43E-07	7.99E-07	6.83E-07	7.96E-07	4.39E-07	4.66E-07	4.64E-07	3.24E-07	7.05E-07	8.28E-07	8.58E-07	9.41E-07
M7WEK6	2.67E-06	2.77E-06	1.23E-06	1.19E-06	1.96E-06	1.74E-06	1.23E-06	1.19E-06	2.56E-06	2.61E-06	1.41E-06	1.23E-06
M7XJT3	4.31E-07	3.60E-07	1.10E-07	8.63E-08	1.19E-06	1.36E-06	4.87E-07	3.69E-07	3.17E-07		1.54E-07	1.43E-07
M7WPA0	2.15E-06	2.56E-06	1.23E-06	1.12E-06	5.33E-07	4.36E-07	3.24E-07	2.23E-07	3.73E-07	6.20E-07	3.54E-07	3.49E-07
M7WJN6	3.29E-07	2.98E-07	1.45E-07	1.57E-07	4.83E-07	4.95E-07	4.19E-07	3.20E-07	7.05E-07	7.17E-07	2.65E-07	2.04E-07
M7X2D0	5.60E-07	6.13E-07	3.13E-07	2.76E-07	6.13E-07	6.62E-07	5.39E-07	5.18E-07	7.49E-07	6.86E-07	4.19E-07	3.52E-07
M7WVZ0	6.75E-07	9.04E-07	3.94E-07	2.91E-07	1.04E-06	1.10E-06	7.76E-07	6.36E-07	1.38E-06	1.12E-06	4.99E-07	4.05E-07
M7WFU6	2.64E-07	1.63E-07	3.77E-07	4.63E-07	6.69E-07	6.65E-07	4.78E-07	3.95E-07	1.29E-06	1.17E-06	5.91E-07	4.94E-07
M7WLM7	6.64E-07	8.12E-07	2.80E-07	3.70E-07	9.54E-07	8.24E-07	4.18E-07	4.15E-07	1.85E-06	1.49E-06	3.65E-07	3.17E-07
M7XPI5	9.91E-07	1.49E-06	6.69E-07	4.73E-07	6.03E-07	5.77E-07	4.57E-07	3.84E-07	1.21E-06	1.11E-06	7.55E-07	6.12E-07
M7XPD8		2.11E-07	2.76E-07	2.94E-07	1.25E-06	1.46E-06	1.67E-06	1.62E-06	2.21E-07	2.21E-07	2.58E-07	2.07E-07
M7XP52	1.42E-07	1.84E-07	5.32E-08	1.86E-08	3.25E-08	1.13E-07	4.13E-07	6.09E-08	2.18E-07	5.52E-07	4.24E-08	2.85E-08
M7X6U4	3.15E-07	3.72E-07	1.48E-06	1.41E-06	1.49E-06	1.94E-06	4.11E-07	6.13E-07	4.91E-07	3.40E-07	1.48E-07	1.42E-07
M7XNM9		1.34E-06		9.40E-08	3.19E-06	3.70E-06	2.26E-06	1.80E-06			1.01E-06	9.14E-07
M7WW73		3.11E-08	2.11E-08	1.72E-08	1.43E-08	4.04E-08	2.45E-08	2.91E-08			5.67E-08	7.50E-08
M7XZN3	3.96E-07	2.89E-07	2.25E-07	2.83E-07	4.34E-07	4.21E-07	2.68E-07	2.36E-07	8.50E-07	7.13E-07	2.85E-07	2.30E-07
M7WH48	1.10E-06	1.09E-06	1.14E-06	1.12E-06	1.67E-06	1.74E-06	1.04E-06	9.83E-07	3.09E-06	2.87E-06	2.17E-06	1.88E-06
M7XD79		9.29E-07	4.64E-07	3.66E-07	1.08E-06	1.14E-06	7.05E-07	4.88E-07	1.33E-06	1.29E-06	4.11E-07	3.19E-07
M7X6U8	1.46E-07	1.73E-07	7.55E-08	7.96E-08	2.84E-07	1.56E-07	1.28E-07	1.20E-07	8.87E-07	8.31E-07	2.11E-07	1.74E-07
M7X332	4.02E-07	6.10E-07	3.18E-07	2.94E-07	1.40E-06	1.65E-06	9.00E-07	9.22E-07	9.22E-07	8.67E-07	6.23E-07	4.99E-07
M7XIX9	1.87E-06	2.04E-06	8.51E-07	8.47E-07	1.22E-06	1.23E-06	8.20E-07	7.24E-07	1.82E-06	1.92E-06	9.28E-07	9.08E-07
M7WYG4	4.16E-07	5.16E-07	2.90E-07	3.25E-07	3.84E-07	4.32E-07	3.76E-07	2.91E-07	8.04E-07	7.37E-07	3.68E-07	3.15E-07
M7XXT6	5.36E-07	4.72E-07	2.80E-07	2.96E-07	3.63E-07	4.11E-07	2.90E-07	2.54E-07	8.52E-07	7.37E-07	2.83E-07	2.34E-07
M7WM80	3.34E-06	3.25E-06	1.94E-06	1.89E-06	5.97E-07	6.41E-07	3.80E-07	3.63E-07	3.18E-07	3.35E-07	4.71E-07	2.86E-07
M7WJ06	2.07E-06	2.32E-06	8.07E-07	7.47E-07	6.30E-07	6.91E-07	3.68E-07	3.17E-07	4.32E-07	3.93E-07	2.52E-07	2.18E-07
M7WWU9	2.20E-07	5.30E-07	2.91E-07	2.33E-07	3.08E-07	3.39E-07	2.40E-07	2.46E-07	3.68E-07	4.28E-07	3.16E-07	2.37E-07
M7XMW0	2.62E-07	2.63E-07	4.26E-07	4.55E-07	6.26E-07	7.13E-07	4.97E-07	4.58E-07	6.96E-07	6.65E-07	5.14E-07	3.45E-07
M7WYD3	2.56E-06	2.34E-06	1.41E-06	1.62E-06	1.47E-06	2.66E-06	2.76E-06	2.57E-06	1.31E-06	1.18E-06	1.04E-06	1.14E-06
M7WT26	4.47E-07	5.55E-07	3.60E-07	2.20E-07	4.59E-07	4.56E-07	1.89E-07	2.56E-07	7.52E-07	7.86E-07	3.39E-07	2.97E-07
M7WYS5	1.75E-06	2.00E-06	1.03E-05	1.09E-05	4.84E-07	1.08E-06	6.61E-07	7.97E-07	8.90E-07	1.12E-06	1.23E-05	1.03E-05
M7WNN9	1.61E-07	1.25E-07	3.54E-08	3.99E-08	5.13E-07	5.01E-07	1.57E-07	1.35E-07	1.46E-06	1.33E-06	9.41E-08	7.66E-08
M7WUV0	2.35E-07	3.02E-07	1.36E-07	1.25E-07	1.68E-07	1.89E-07	1.17E-07	1.21E-07	3.32E-07	2.84E-07	1.24E-07	1.15E-07
M7X6W7	5.94E-07	5.36E-07	2.24E-07	2.78E-07	2.80E-07	2.77E-07	2.41E-07	1.87E-07	5.45E-07	5.84E-07	3.97E-07	2.83E-07
M7WQD3	8.28E-07	3.27E-07		2.20E-07	1.16E-06	1.27E-06	9.61E-07	8.46E-07	1.44E-06	1.35E-06	4.34E-07	3.52E-07
M7XKU3	1.11E-06	1.19E-06	6.09E-07	4.82E-07	6.73E-07	6.34E-07	5.36E-07	4.75E-07	1.28E-06	1.24E-06	6.09E-07	5.41E-07
M7X3Q0		1.00E-06		4.75E-07	1.05E-06	1.01E-06	9.08E-07	9.23E-07			8.97E-07	7.74E-07
M7WS84	5.62E-07	6.58E-07	4.47E-07	3.61E-07	3.84E-07	4.19E-07	2.68E-07	2.61E-07	7.78E-07	7.42E-07	4.73E-07	3.73E-07
M7WUR2	4.23E-07	4.38E-07	1.51E-07	1.22E-07	2.78E-07	2.53E-07	1.58E-07	1.27E-07	4.39E-07	4.06E-07	1.32E-07	1.01E-07
M7WZ66	1.36E-07	1.47E-07	9.42E-08	1.04E-07	7.46E-08	9.32E-08	6.99E-08	5.83E-08	1.58E-07	1.49E-07	9.31E-08	8.13E-08
M7WTT0	3.68E-07	3.59E-07	1.46E-07	1.61E-07	5.34E-07	5.87E-07	2.90E-07	2.78E-07	6.86E-07	6.76E-07	1.71E-07	1.53E-07
M7XCY6	6.98E-07	7.55E-07	3.52E-07	2.71E-07	8.94E-07	1.09E-06	6.07E-07	5.56E-07	9.13E-07	8.68E-07	3.15E-07	2.46E-07
M7X5E3	7.43E-07	6.42E-07	3.25E-07	3.65E-07	4.17E-07	4.94E-07	3.34E-07	3.23E-07	1.28E-06	1.07E-06	4.02E-07	3.36E-07
M7XGU4	1.24E-06	1.39E-06	6.33E-07	6.52E-07	9.17E-07	1.07E-06	6.93E-07	5.88E-07	1.53E-06	1.52E-06	7.32E-07	7.06E-07
M7WLX6	3.97E-07	4.50E-07	2.19E-07	1.60E-07	2.41E-08	2.71E-08	3.45E-08	1.06E-08	3.75E-08	1.15E-08	1.14E-08	1.00E-08
M7X0E7	1.17E-06	1.22E-06	5.33E-07	5.49E-07	1.48E-06	1.29E-06	8.04E-07	6.46E-07	1.25E-06	1.25E-06	7.64E-07	5.53E-07
M7WXF3	3.86E-07	4.08E-07	3.49E-07	3.36E-07	4.38E-07	4.66E-07	3.25E-07	3.25E-07	7.40E-07	7.32E-07	4.04E-07	3.25E-07
M7XN46	1.09E-06	1.25E-06	7.28E-07	6.93E-07	4.97E-07	5.43E-07	5.01E-07	4.32E-07	6.17E-07	4.75E-07	6.93E-07	5.17E-07
M7WZD3	3.37E-07	6.51E-07	1.45E-07	1.38E-07	4.05E-07	4.99E-07	3.18E-07	2.69E-07	8.10E-07	7.78E-07	1.73E-07	1.19E-07
M7XAL7	7.44E-07	5.30E-07	3.74E-07	5.30E-07	1.30E-07	1.48E-07	1.29E-07	1.66E-07	6.29E-07	5.65E-07	3.79E-07	3.70E-07
M7XAQ2	1.05E-06	1.22E-06	5.30E-07	3.83E-07	2.11E-06	2.41E-06	1.20E-06	9.42E-07	3.29E-06	2.16E-06	7.08E-07	6.28E-07
M7WQ90	6.32E-07	3.76E-07		2.45E-07	1.17E-06	1.18E-06	6.79E-07	6.69E-07	1.73E-06	1.51E-06	3.35E-07	2.61E-07
M7XJC1	1.62E-07	3.69E-07	3.90E-07	3.83E-07	4.08E-07	4.67E-07	2.87E-07	2.67E-07	6.01E-07	7.18E-07	5.23E-07	4.07E-07
M7WJX8		2.18E-07	2.55E-07	2.08E-07	3.84E-07	3.87E-07	2.71E-07	2.15E-07	6.40E-07	5.85E-07	2.21E-07	1.81E-07
M7XUQ1	1.56E-06	2.06E-06	1.27E-06	1.16E-06	1.24E-06	1.59E-06	1.35E-06	1.51E-06	1.70E-06	1.47E-06	1.46E-06	1.28E-06
M7WMQ2	1.18E-07	1.16E-07	1.92E-06	2.25E-06	1.13E-06	1.37E-06	1.24E-06	1.46E-06	9.76E-07	9.42E-07	2.38E-06	2.67E-06
M7XCG8	1.95E-06	2.12E-06	1.07E-06	1.10E-06	1.09E-06	1.16E-06	8.35E-07	8.21E-07	2.29E-06	2.23E-06	1.24E-06	1.01E-06
M7XB86	6.30E-07	6.99E-07	4.37E-07	4.28E-07	3.44E-07	3.46E-07	3.94E-07	3.01E-07	9.67E-07	9.44E-07	6.36E-07	4.20E-07
M7X2F3	7.05E-07	7.19E-07	3.87E-07	3.74E-07	1.26E-06	1.47E-06	8.23E-07	7.77E-07	8.43E-07	8.29E-07	4.51E-07	3.48E-07
M7X5A2	2.68E-07	3.11E-07	1.94E-07	1.80E-07	1.17E-07	1.11E-07	1.44E-07	1.35E-07	3.30E-07	2.31E-07	1.80E-07	1.40E-07
M7WHP5	7.22E-07	8.49E-07	2.23E-07	3.07E-07	1.40E-07	1.38E-07	1.40E-07	1.22E-07	3.83E-07	3.46E-07	1.93E-07	1.71E-07
M7WQH5	1.10E-07	1.12E-07	7.54E-08	6.25E-08	1.18E-07	1.38E-07	1.05E-07	8.35E-08	2.14E-07	2.03E-07	7.54E-08	5.72E-08
M7WQC9	7.74E-07	1.01E-06	3.60E-07	3.97E-07	7.83E-07	9.62E-07	5.55E-07	6.49E-07	1.52E-06	1.23E-06	4.86E-07	3.45E-07
M7WN48	6.27E-07	6.23E-07	3.44E-07	3.39E-07	4.56E-07	4.60E-07	3.17E-07	2.59E-07	8.89E-07	7.83E-07	3.72E-07	3.36E-07
M7WSC3	4.69E-07	4.21E-07	3.50E-07	3.63E-07	4.91E-07	4.42E-07	3.34E-07	2.92E-07	8.39E-07	7.95E-07	3.37E-07	3.20E-07
M7WX53	2.82E-07	3.08E-07	1.12E-07	1.16E-07	1.68E-07	1.78E-07	1.43E-07	1.08E-07	3.24E-07	3.22E-07	1.30E-07	1.06E-07
M7WVJ4	3.95E-07	3.91E-07	1.64E-07	1.75E-07	2.50E-07	3.01E-07	1.82E-07	1.61E-07	4.27E-07	3.95E-07	1.69E-07	1.13E-07
M7X786	4.78E-07	3.11E-07	4.17E-07	4.91E-07	6.31E-07	6.38E-07	4.32E-07	4.07E-07	9.62E-07	9.32E-07	4.95E-07	4.97E-07
M7WQK2	2.29E-06	2.51E-06		1.85E-06	6.93E-07	1.02E-06	3.09E-07	3.32E-07	1.63E-07	1.40E-07	8.83E-07	9.98E-07
M7X192	2.32E-06	2.39E-06	6.34E-07	6.50E-07	1.46E-06	1.79E-06	1.66E-06	1.36E-06	2.29E-06	2.12E-06	1.17E-06	1.07E-06
M7WIC5	4.03E-07	5.17E-07	2.82E-07	2.91E-07	3.41E-07	4.45E-07	3.11E-07	3.02E-07	1.15E-06	9.68E-07	4.96E-07	3.99E-07
M7WV51	7.11E-07	7.30E-07	8.79E-07	8.09E-07	9.20E-07	9.91E-07	9.09E-07	7.14E-07	1.69E-06	1.61E-06	1.07E-06	1.04E-06
M7XJR2	5.62E-07	4.35E-07	1.58E-07	1.60E-07	3.91E-07	4.65E-07	3.01E-07	2.54E-07	6.24E-07	6.18E-07	2.00E-07	1.89E-07
M7WYY1	6.76E-07	4.25E-07	4.71E-07	4.84E-07	5.19E-07	5.76E-07	3.84E-07	3.67E-07	6.69E-07	6.25E-07	5.48E-07	4.53E-07
M7XKV7	3.85E-07	4.04E-07	1.90E-07	1.64E-07	1.66E-07	1.91E-07	1.42E-07	1.22E-07	5.08E-07	4.92E-07	1.93E-07	1.42E-07
M7XQJ1	4.06E-07	5.41E-07	2.41E-07	2.05E-07	5.20E-07	5.36E-07	2.55E-07	2.33E-07	9.54E-07	7.86E-07	2.81E-07	2.24E-07
M7XCW8	2.68E-06	2.88E-06		1.77E-06	1.59E-06	1.87E-06	1.43E-06	1.39E-06	3.01E-06	2.74E-06	2.36E-06	2.18E-06
M7WS41		1.28E-08		8.52E-09	1.41E-08	2.28E-08	4.15E-08	1.19E-07	1.52E-08	1.51E-08	3.09E-08	4.61E-08
M7WHV7	7.03E-07	6.08E-07	1.88E-07	1.41E-07	4.73E-07	4.64E-07	2.42E-07	1.98E-07	8.69E-07	8.59E-07	2.92E-07	4.83E-07
M7WPS9		3.03E-08		1.98E-08	4.22E-08	3.59E-08	4.48E-08	2.20E-08		1.37E-07	2.32E-08	4.52E-08
M7WPP3		3.34E-08	1.96E-07	2.29E-07	9.25E-07	8.91E-07	6.27E-07	5.49E-07	1.67E-07	1.14E-07	3.75E-07	2.83E-07
M7WPD1	8.89E-07	1.02E-06		1.64E-07	1.02E-06	9.23E-07	5.17E-07	4.41E-07	1.32E-06	1.12E-06	2.58E-07	2.34E-07
M7XQ67	6.64E-07	4.94E-07	2.53E-07	2.33E-07	3.59E-07	3.98E-07	2.39E-07	1.92E-07	5.88E-07	5.15E-07	3.00E-07	2.34E-07
M7XQC4	5.69E-07	4.41E-07	2.39E-07	1.81E-07	7.25E-07	7.37E-07	3.38E-07	3.37E-07	5.19E-07	5.49E-07	2.75E-07	2.51E-07
M7WMR7	3.88E-07	5.57E-07	2.45E-07	2.99E-07	2.84E-07	3.27E-07	3.67E-07	2.72E-07	6.41E-07	6.71E-07	3.95E-07	3.45E-07
M7XZA1	1.00E-06	1.17E-06	6.02E-07	5.94E-07	7.22E-07	8.79E-07	6.39E-07	5.25E-07	1.05E-06	1.13E-06	7.18E-07	5.99E-07
M7WZM7	1.22E-06	1.14E-06	6.18E-07	6.04E-07	7.71E-07	7.38E-07	4.84E-07	4.86E-07	1.52E-06	1.63E-06	5.66E-07	4.82E-07
M7X251	6.02E-07	7.63E-07	3.38E-07	3.47E-07	2.65E-07	2.61E-07	1.71E-07	1.53E-07	6.86E-07	6.00E-07	3.03E-07	2.64E-07
M7WQW0	1.02E-06	1.14E-06	4.71E-07	4.79E-07	7.05E-07	7.29E-07	4.64E-07	3.92E-07	1.26E-06	1.09E-06	5.40E-07	4.81E-07
M7WJW0	8.23E-07	1.14E-06	3.04E-07	2.47E-07	7.30E-07	8.17E-07	5.85E-07	5.06E-07	6.29E-07	5.24E-07	4.00E-07	3.64E-07
M7XLR2	5.28E-07	5.15E-07	3.86E-07	3.69E-07	1.17E-06	1.43E-06	8.62E-07	6.28E-07	5.96E-07	5.59E-07	4.02E-07	3.56E-07
M7X296	6.95E-07	7.27E-07		3.08E-07	3.63E-07	4.19E-07	3.11E-07	2.79E-07	8.59E-07	7.13E-07	3.31E-07	2.46E-07
M7WR81	5.62E-07	5.91E-07	4.64E-07	4.70E-07	1.09E-06	1.12E-06	5.93E-07	5.48E-07	1.79E-06	1.56E-06	3.64E-07	2.88E-07
M7WMW2	4.76E-07	5.67E-07	2.89E-07	2.85E-07	3.36E-07	3.33E-07	2.82E-07	2.32E-07	5.77E-07	5.27E-07	2.90E-07	2.58E-07
M7X504	7.17E-07	5.89E-07	5.01E-07	4.81E-07	1.19E-06	1.31E-06	8.60E-07	6.72E-07	2.14E-06	2.27E-06	7.91E-07	6.33E-07
M7WTL5	1.02E-06	1.07E-06	2.46E-07	2.56E-07	1.06E-06	1.15E-06	6.20E-07	4.65E-07	1.78E-06	1.66E-06	2.76E-07	2.23E-07
M7WY75	3.36E-07	5.93E-07		1.52E-07	3.53E-07	3.96E-07	1.37E-07	1.64E-07	7.51E-07	8.51E-07	1.44E-07	1.42E-07
M7WS60	3.24E-07	3.43E-07	1.14E-06	3.80E-07	3.50E-07	1.06E-06	2.41E-07			2.74E-06	5.45E-07	4.11E-07
M7XP46	2.20E-07	2.43E-07	9.56E-08	9.09E-08	1.16E-07	1.42E-07	9.86E-08	9.15E-08	2.39E-07	2.15E-07	9.81E-08	7.92E-08
M7XFQ9	2.56E-07	3.70E-07	1.69E-07	1.89E-07	3.52E-07	3.53E-07	1.99E-07	1.71E-07	8.02E-07	8.60E-07	2.04E-07	1.63E-07
M7WJI2	4.59E-07	2.21E-07	4.57E-07	4.04E-07	5.04E-07	5.29E-07	3.08E-07	2.47E-07	9.42E-07	9.34E-07	3.04E-07	2.78E-07
M7X266	6.51E-07	5.96E-07	2.38E-07	2.19E-07	9.84E-07	9.72E-07	4.76E-07	4.37E-07	1.31E-06	1.09E-06	3.36E-07	3.17E-07
M7X7B6	4.21E-07	2.50E-07	2.54E-07	2.31E-07	4.69E-07	4.85E-07	2.22E-07	2.15E-07	8.47E-07	9.83E-07	2.58E-07	2.36E-07
M7X097	3.33E-07	2.62E-07	9.77E-08	1.29E-07	1.68E-07	1.76E-07	1.14E-07	1.10E-07	3.70E-07	3.75E-07	1.01E-07	7.68E-08
M7WWY2	4.29E-07	4.51E-07	3.39E-07	2.62E-07	2.46E-07	2.63E-07	2.37E-07	1.93E-07	4.20E-07	4.54E-07	3.17E-07	2.43E-07
M7X860	1.15E-06	1.14E-06	3.45E-07	3.55E-07	9.74E-07	9.72E-07	5.25E-07	4.51E-07	1.27E-06	1.22E-06	4.19E-07	3.20E-07
M7XKT9	2.93E-07	2.80E-07	1.93E-07	2.55E-07	4.23E-07	4.10E-07	2.65E-07	2.24E-07	7.60E-07	5.70E-07	2.67E-07	2.07E-07
M7XKA4	1.28E-07	1.57E-07	9.53E-08	8.17E-08	1.15E-07	1.04E-07	8.72E-08	7.32E-08	1.86E-07	2.05E-07	9.12E-08	7.25E-08
M7WYE8	1.16E-06	9.97E-07	4.24E-07	3.38E-07	6.31E-07	6.62E-07	4.28E-07	3.40E-07	1.66E-06	1.49E-06	3.88E-07	3.15E-07
M7XUJ0	1.34E-06	1.40E-06	2.73E-07	4.66E-07	1.90E-06	1.92E-06	1.09E-06	1.03E-06	2.85E-06	2.58E-06	8.93E-07	7.77E-07
M7XVL0	1.97E-07	1.77E-07	1.54E-07	1.44E-07	1.42E-07	1.79E-07	1.36E-07	1.24E-07	3.33E-07	3.72E-07	1.56E-07	1.15E-07
M7X928	1.09E-06	1.15E-06	5.07E-07	4.77E-07	9.08E-07	9.13E-07	4.98E-07	4.41E-07	1.47E-06	1.56E-06	4.95E-07	3.66E-07
M7WMU5	2.51E-07	3.37E-07	1.16E-07	1.13E-07	2.38E-07	2.16E-07	1.20E-07	1.07E-07	4.19E-07	3.35E-07	9.44E-08	7.80E-08
M7X0K6	3.77E-07	2.94E-07	2.24E-07	1.84E-07	2.38E-07	1.67E-07	1.37E-07	1.50E-07	4.15E-07	4.41E-07	1.92E-07	1.62E-07
M7XZ93	2.04E-07	3.46E-07	2.94E-07	2.36E-07	3.90E-07	3.92E-07	2.52E-07	1.69E-07	8.09E-07	8.18E-07	2.53E-07	2.11E-07
M7XVM0	6.29E-07	5.64E-07		1.71E-07	1.61E-06	1.81E-06	1.09E-06	6.98E-07	1.98E-06	2.06E-06	5.21E-07	5.35E-07
M7WLR9	4.31E-07	4.57E-07	1.77E-07	1.78E-07	3.46E-07	3.97E-07	2.41E-07	2.09E-07	5.21E-07	5.20E-07	2.09E-07	1.59E-07
